,roberta sentiment
0,-0.01703864509639408
1,-0.8472056866432454
2,-0.01703864509639408
3,-0.9129733860845313
4,0.8866261870589085
5,-0.01703864509639408
6,-0.01703864509639408
7,-0.01703864509639408
8,-0.7323305562748266
9,-0.01703864509639408
10,-0.01703864509639408
11,-0.779096983078405
12,-0.01703864509639408
13,-0.9379802959361191
14,-0.01703864509639408
15,-0.01703864509639408
16,-0.9674686177892732
17,-0.5736624785947727
18,-0.5921782776928859
19,-0.01703864509639408
20,-0.01703864509639408
21,-0.01703864509639408
22,-0.01703864509639408
23,-0.81720592092741
24,-0.01703864509639408
25,-0.01703864509639408
26,-0.01703864509639408
27,-0.01703864509639408
28,0.6764098968368729
29,-0.01703864509639408
30,-0.5830962597069058
31,-0.01703864509639408
32,-0.01703864509639408
33,-0.01703864509639408
34,-0.01703864509639408
35,-0.01703864509639408
36,-0.01703864509639408
37,-0.01703864509639408
38,-0.7036670984334964
39,-0.01703864509639408
40,-0.7131402637855941
41,0.9371749096666107
42,-0.01703864509639408
43,-0.01703864509639408
44,-0.6767507573273903
45,-0.01703864509639408
46,-0.01703864509639408
47,-0.01703864509639408
48,-0.01703864509639408
49,-0.01703864509639408
50,-0.01703864509639408
51,0.5144410155927597
52,-0.01703864509639408
53,-0.01703864509639408
54,-0.01703864509639408
55,-0.01703864509639408
56,-0.01703864509639408
57,-0.01703864509639408
58,-0.01703864509639408
59,-0.01703864509639408
60,-0.01703864509639408
61,0.8356890121186165
62,-0.01703864509639408
63,-0.6338792664792495
64,-0.01703864509639408
65,-0.01703864509639408
66,0.9868609765423365
67,-0.8374187336374331
68,0.4034958566156413
69,-0.01703864509639408
70,-0.8931703409722731
71,-0.01703864509639408
72,-0.01703864509639408
73,-0.9167482092956912
74,-0.01703864509639408
75,0.9842179449113709
76,-0.5975966426007319
77,-0.9487685763990708
78,-0.8023992229728333
79,-0.01703864509639408
80,-0.01703864509639408
81,-0.01703864509639408
82,-0.8252062504565095
83,-0.01703864509639408
84,-0.9440402013251296
85,-0.01703864509639408
86,-0.01703864509639408
87,-0.01703864509639408
88,0.739902742977562
89,-0.01703864509639408
90,0.6323126557396329
91,-0.01703864509639408
92,0.7135434775518256
93,-0.8946867873378137
94,-0.01703864509639408
95,-0.01703864509639408
96,-0.01703864509639408
97,-0.6905026559096036
98,-0.01703864509639408
99,-0.01703864509639408
100,0.41799308509522437
101,0.8405665940487842
102,-0.7668738422648939
103,-0.6802791074722714
104,-0.01703864509639408
105,-0.01703864509639408
106,-0.8629771453500489
107,-0.01703864509639408
108,0.7130896094054221
109,-0.01703864509639408
110,-0.01703864509639408
111,-0.01703864509639408
112,-0.01703864509639408
113,-0.01703864509639408
114,0.9391323615185352
115,-0.01703864509639408
116,0.9880360724112635
117,-0.01703864509639408
118,-0.9283878753504118
119,0.8784908608503659
120,-0.01703864509639408
121,-0.7546371037822192
122,-0.854572622042526
123,-0.01703864509639408
124,0.5004506065433272
125,-0.01703864509639408
126,0.9866752642319593
127,-0.8855873741354263
128,-0.01703864509639408
129,-0.01703864509639408
130,-0.01703864509639408
131,-0.01703864509639408
132,-0.01703864509639408
133,-0.01703864509639408
134,-0.01703864509639408
135,-0.01703864509639408
136,-0.7336816868337352
137,0.8985789057581995
138,-0.01703864509639408
139,-0.01703864509639408
140,0.9589929210963092
141,-0.01703864509639408
142,-0.01703864509639408
143,0.5274577212787139
144,-0.01703864509639408
145,-0.01703864509639408
146,-0.6870859046530825
147,-0.8395505664087652
148,-0.01703864509639408
149,-0.7344927694241096
150,-0.01703864509639408
151,-0.01703864509639408
152,-0.01703864509639408
153,-0.01703864509639408
154,-0.01703864509639408
155,-0.01703864509639408
156,-0.01703864509639408
157,-0.9822290101677796
158,-0.8668134030754926
159,-0.01703864509639408
160,-0.01703864509639408
161,0.8361224837612746
162,0.48732539513249395
163,-0.7693200751975605
164,-0.01703864509639408
165,-0.01703864509639408
166,-0.01703864509639408
167,-0.9178218739027499
168,-0.9489273996249309
169,0.5862327887272873
170,-0.01703864509639408
171,0.6746154332626245
172,-0.01703864509639408
173,-0.01703864509639408
174,0.5172462392414952
175,-0.8369282375353551
176,-0.01703864509639408
177,-0.6949386198457674
178,-0.01703864509639408
179,-0.9545569571601451
180,-0.6647165138638802
181,-0.01703864509639408
182,0.9618658880878141
183,-0.01703864509639408
184,-0.01703864509639408
185,0.9358043013653868
186,-0.01703864509639408
187,-0.01703864509639408
188,-0.01703864509639408
189,-0.01703864509639408
190,-0.7686550756745508
191,0.8586029834327409
192,-0.01703864509639408
193,-0.8664182131590831
194,-0.01703864509639408
195,-0.01703864509639408
196,-0.9256050082298055
197,-0.5985449881487431
198,0.568653881284692
199,-0.01703864509639408
200,0.9189459478869331
201,-0.947502890653149
202,0.9588519218421903
203,-0.8027150931524557
204,-0.6509159821766407
205,-0.01703864509639408
206,-0.01703864509639408
207,-0.01703864509639408
208,-0.552397255292104
209,-0.01703864509639408
210,-0.01703864509639408
211,-0.01703864509639408
212,-0.8976224751096044
213,0.5384083162609596
214,-0.01703864509639408
215,-0.7770542701657798
216,-0.01703864509639408
217,-0.01703864509639408
218,0.576857992098958
219,0.7764993995128422
220,-0.9712381734349014
221,0.9781510569354928
222,-0.695663522614011
223,-0.01703864509639408
224,-0.01703864509639408
225,-0.01703864509639408
226,0.5720114643051232
227,-0.9445148947306122
228,-0.01703864509639408
229,-0.8101048750859616
230,-0.01703864509639408
231,-0.01703864509639408
232,-0.924853093875521
233,-0.7955308687762144
234,-0.01703864509639408
235,-0.01703864509639408
236,-0.5678917380531536
237,-0.01703864509639408
238,-0.01703864509639408
239,0.6254035697862855
240,-0.01703864509639408
241,0.5345522132886286
242,0.7681782997431603
243,-0.01703864509639408
244,-0.01703864509639408
245,-0.01703864509639408
246,-0.01703864509639408
247,-0.01703864509639408
248,-0.01703864509639408
249,-0.01703864509639408
250,-0.9582522156314701
251,-0.01703864509639408
252,-0.01703864509639408
253,0.9873449800636428
254,-0.8468956965367747
255,-0.01703864509639408
256,-0.01703864509639408
257,0.5050110932786325
258,-0.01703864509639408
259,-0.7332344950203896
260,-0.01703864509639408
261,-0.9421332201010912
262,-0.01703864509639408
263,-0.01703864509639408
264,-0.6204594082778261
265,0.8615723591236304
266,-0.01703864509639408
267,-0.01703864509639408
268,0.9498121668819888
269,0.7882063189042362
270,-0.01703864509639408
271,-0.01703864509639408
272,-0.01703864509639408
273,0.6234072237004925
274,-0.01703864509639408
275,-0.01703864509639408
276,0.7546179322937141
277,-0.01703864509639408
278,0.9023667141309031
279,-0.01703864509639408
280,0.6843579794659884
281,-0.01703864509639408
282,-0.9427799056462637
283,-0.01703864509639408
284,-0.01703864509639408
285,0.6435933310782845
286,0.914953071963061
287,-0.01703864509639408
288,0.5090481922526668
289,-0.01703864509639408
290,0.8177935607380167
291,-0.5389269264627945
292,0.9489503686606803
293,-0.8268652885959809
294,-0.7478552356615411
295,0.9499187432078648
296,-0.8365084860633843
297,-0.01703864509639408
298,-0.01703864509639408
299,-0.7784646302115402
300,-0.01703864509639408
301,-0.8423681014606622
302,-0.01703864509639408
303,-0.01703864509639408
304,-0.01703864509639408
305,0.9906252646224328
306,-0.01703864509639408
307,-0.7069916672932108
308,0.8141286213938806
309,0.6044678755831648
310,-0.9007291750088928
311,0.7945537353700642
312,-0.01703864509639408
313,-0.01703864509639408
314,0.926770548979861
315,-0.01703864509639408
316,-0.9409998972518467
317,-0.8145436565571773
318,-0.01703864509639408
319,-0.01703864509639408
320,-0.01703864509639408
321,-0.9464499288036455
322,-0.7582681714549705
323,-0.01703864509639408
324,-0.01703864509639408
325,0.914269758462214
326,-0.5571767747523133
327,0.6662162387713956
328,-0.01703864509639408
329,-0.01703864509639408
330,-0.8750409116808419
331,-0.9885303048098233
332,-0.01703864509639408
333,-0.01703864509639408
334,-0.01703864509639408
335,-0.8199542426182496
336,-0.7731598242164381
337,-0.01703864509639408
338,-0.9925910465779888
339,-0.01703864509639408
340,0.5577966937144928
341,-0.01703864509639408
342,-0.01703864509639408
343,-0.01703864509639408
344,-0.01703864509639408
345,-0.01703864509639408
346,-0.01703864509639408
347,0.9817273664270181
348,-0.5708543149094614
349,0.6914513689621871
350,-0.01703864509639408
351,-0.01703864509639408
352,-0.560770234457198
353,-0.01703864509639408
354,-0.01703864509639408
355,-0.01703864509639408
356,-0.6751149332267161
357,-0.5815315477409111
358,-0.01703864509639408
359,-0.01703864509639408
360,0.9372530656389199
361,-0.01703864509639408
362,-0.01703864509639408
363,-0.7389795714927315
